"Super Page Speed Options","Opções Super Page Speed"
"<strong>ENABLE / DISABLE:</strong> To enable or disable the module, please go to <em>System</em> > <em>Cache Management</em>.<br/>Bellow you can customize the module settings for your store.<br/><br/>","<strong>ATIVAR / DESATIVAR:</strong> Para ativar ou desativar o módulo, por favor vá para <em>Sistema</em> > <em>Gerenciamento de Cache</em>.<br/>Abaixo você poderá customizar as configurações do módulo para a sua loja.<br/><br/>"
"Uses Multiple Locations?","Usar Múltiplas Localizações?"
"If your store uses multiple languages or multiple currencies, set <em>YES</em> on this option. Otherwise, set <em>NO</em> to increase cache performance.","Se a sua loja utiliza múltiplas linguas ou múltiplas moedas, defina esta opção como <em>SIM</em>. Caso contrário, defina <em>NÃO</em> para melhorar a performance do cache."
"Uses Multiple Themes?","Usar Múltiplos Temas?"
"If your store uses multiple templates, including different versions for smartphones and tablets, set <em>YES</em> on this option. Otherwise, set <em>NO</em> to increase cache performance.","Se a sua loja utiliza múltiplos temas, incluindo temas para smartphones e tables, defina esta opção como <em>SIM</em>. Caso contrário, defina <em>NÃO</em> para melhorar a performance do cache."
"Dynamic Blocks","Blocos dinâmicos"
"One per line. Define dynamic blocks that needs be processed on each request, without making cache. Use this option to cancel cache from special blocks from others modules. Reduce dynamic blocks to increase performance. Leave blank to disable dynamic blocks.","Um por linha. Defina os blocos dinâmicos que precisam ser processados em cada requisição, sem utilizar cache. Use esta opção para cancelar o cache em blocos especiais de outros módulos. Reduza o número de blocos dinâmicos para aumentar a performance. Deixe em branco para desabilitar blocos dinâmicos."
"Block URLs","Bloquear URLs"
"One per line. Insert strings/patterns in this option cancel page speed optimization when pages needs be fully loaded. Use this to cancel cache on special page from others modules.","Uma por linha. Insira strings/patterns nesta opção para cancelar a otimização de página via cache quando a página precisa ser inteiramente processada. Use esta opção para cancelar o cache em páginas especiais de outros módulos."
"Session Types","Tipos de Sessão"
"One per line. Define dynamic session types that needs be processed on each request. Use this option to show session messages from others modules. Reduce session types to increase performance.","Um por linha. Defina tipos de sessão dinâmicos que precisam ser processados em cada requisição. Use esta opção para exibir mensagens de sessão de outros módulos. Reduza os tipos de sessão para aumentar a performance."
"Session Params","Parâmetros de Sessão"
"One per line. Define dynamic catalog session params that needs be processed on each request before cache request.","Um por linha. Defina parâmetros dinâmicos da sessão do catálogo que precisam ser processados antes da requisição do cache."
"Diff Visits?","Diferenciar Visitas?"
"Enable this option to generate different cache for logged in users and not logged users. When enabled, the module produces different cache form each customer groups too. NOTE: Related to full page, not dynamic blocks.","Habilite esta opção para gerar caches diferenciados para usuários logados e não logados. Quando habilitado, o módulo irá produzir caches diferenciados para cada gropo de clientes também. NOTA: Relacionado ao cache da página, não se aplica a blocos dinâmicos."
"Minify HTML?","Comprimir HTML?"
"Enable this option to minify HTML and save bandwidth - RECOMMENDED","Habilite esta opção para comprimir o HTML e poupar banda de transferência - RECOMENDADO"
"Cache Ajax Requests?","Realizar Cache de Ajax?"
"Enable cache for ajax requests - RECOMMENDED","Habilita o cache para requisições em ajax - RECOMENDADO"
"Cache Lifetime","Tempo de Cache"
"In minutes. 60 == 1 hour","Em minutos. 60 == 1 hora"
"Debug","Debugar"
"Enable debug blocks on request for developers. NOTE: You should set <em>Allowed IPs</em> on <em>Advanced</em> > <em>Developer</em> before enable this option.","Habilita blocos de debug nos blocos dinâmicos durante as requisições para os desenvolvedores. NOTA: Você deve primeiro setar os <em>IP Permitidos</em> em <em>Programador</em> antes de habilitar esta opção."
